,totaltraveltime,day,mean_temp,rain,snow,hail,snowfall,precip,red_sox_game,prevlinkratio,prevtotaltraveltime,date,time,holiday,friday_bforholiday,school_holiday
128,16.2,2,42,0,0,0,0.0,0.0,0,1.04027094734,15.833333333,2014-04-02,571,0.0,0.0,0.0
129,14.916666667,2,42,0,0,0,0.0,0.0,0,0.995638860424,14.85,2014-04-02,574,0.0,0.0,0.0
130,17.683333333,2,42,0,0,0,0.0,0.0,0,0.961306486061,16.2,2014-04-02,603,0.0,0.0,0.0
131,12.9,2,42,0,0,0,0.0,0.0,0,1.13983483332,14.916666667,2014-04-02,604,0.0,0.0,0.0
132,16.35,2,42,0,0,0,0.0,0.0,0,0.913241161624,17.683333333,2014-04-02,615,0.0,0.0,0.0
133,16.1,2,42,0,0,0,0.0,0.0,0,0.947573536193,12.9,2014-04-02,631,0.0,0.0,0.0
134,14.233333334,2,42,0,0,0,0.0,0.0,0,0.841143175175,16.35,2014-04-02,652,0.0,0.0,0.0
135,19.916666667,2,42,0,0,0,0.0,0.0,0,0.865175837394,16.1,2014-04-02,661,0.0,0.0,0.0
136,15.15,2,42,0,0,0,0.0,0.0,0,0.98533914828,14.233333334,2014-04-02,664,0.0,0.0,0.0
137,16.266666667,2,42,0,0,0,0.0,0.0,0,0.902941449481,19.916666667,2014-04-02,701,0.0,0.0,0.0
138,18.666666667,2,42,0,0,0,0.0,0.0,0,1.11236893379,15.15,2014-04-02,701,0.0,0.0,0.0
139,15.433333334,2,42,0,0,0,0.0,0.0,0,0.995638860424,16.266666667,2014-04-02,717,0.0,0.0,0.0
140,16.516666667,2,42,0,0,0,0.0,0.0,0,1.06087037204,18.666666667,2014-04-02,740,0.0,0.0,0.0
141,17.2,2,42,0,0,0,0.0,0.0,0,0.858309362562,15.433333334,2014-04-02,741,0.0,0.0,0.0
142,16.083333334,2,42,0,0,0,0.0,0.0,0,1.00593857277,16.516666667,2014-04-02,764,0.0,0.0,0.0
143,14.9,2,42,0,0,0,0.0,0.0,0,1.12266864614,17.2,2014-04-02,784,0.0,0.0,0.0
144,17.233333333,2,42,0,0,0,0.0,0.0,0,0.875475549743,16.083333334,2014-04-02,787,0.0,0.0,0.0
145,16.466666667,2,42,0,0,0,0.0,0.0,0,1.08146979674,14.9,2014-04-02,812,0.0,0.0,0.0
146,20.233333333,2,42,0,0,0,0.0,0.0,0,1.20849958246,17.233333333,2014-04-02,822,0.0,0.0,0.0
147,13.933333334,2,42,0,0,0,0.0,0.0,0,1.23253224447,16.466666667,2014-04-02,841,0.0,0.0,0.0
148,15.05,2,42,0,0,0,0.0,0.0,0,0.666048065432,20.233333333,2014-04-02,852,0.0,0.0,0.0
149,15.266666666,2,42,0,0,0,0.0,0.0,0,0.823976987994,13.933333334,2014-04-02,854,0.0,0.0,0.0
150,15.033333333,2,42,0,0,0,0.0,0.0,0,0.885775262093,15.05,2014-04-02,875,0.0,0.0,0.0
151,15.133333333,2,42,0,0,0,0.0,0.0,0,0.844576412694,15.266666666,2014-04-02,876,0.0,0.0,0.0
152,21.283333334,2,42,0,0,0,0.0,0.0,0,1.18790015755,15.033333333,2014-04-02,909,0.0,0.0,0.0
153,14.2,2,42,0,0,0,0.0,0.0,0,1.29433051878,15.133333333,2014-04-02,918,0.0,0.0,0.0
154,18.833333333,2,42,0,0,0,0.0,0.0,0,0.799944325775,21.283333334,2014-04-02,920,0.0,0.0,0.0
155,17.716666666,2,42,0,0,0,0.0,0.0,0,1.07803655922,14.2,2014-04-02,942,0.0,0.0,0.0
156,17.383333333,2,42,0,0,0,0.0,0.0,0,1.33552936797,18.833333333,2014-04-02,953,0.0,0.0,0.0
157,15.566666667,2,42,0,0,0,0.0,0.0,0,1.10206922144,17.716666666,2014-04-02,969,0.0,0.0,0.0
158,17.233333333,2,42,0,0,0,0.0,0.0,0,1.06087037204,17.383333333,2014-04-02,976,0.0,0.0,0.0
159,15.783333334,2,42,0,0,0,0.0,0.0,0,1.05743713452,15.566666667,2014-04-02,982,0.0,0.0,0.0
160,22.08333333,2,42,0,0,0,0.0,0.0,0,1.24969843186,17.233333333,2014-04-02,989,0.0,0.0,0.0
161,13.58333333,2,42,0,0,0,0.0,0.0,0,1.01967152264,15.783333334,2014-04-02,998,0.0,0.0,0.0
162,16.35,2,42,0,0,0,0.0,0.0,0,0.796511089081,22.08333333,2014-04-02,1008,0.0,0.0,0.0
163,15.21666666,2,42,0,0,0,0.0,0.0,0,1.04027094734,13.58333333,2014-04-02,1014,0.0,0.0,0.0
164,16.41666666,2,42,0,0,0,0.0,0.0,0,0.813677275644,16.35,2014-04-02,1037,0.0,0.0,0.0
165,5.68333333,2,42,0,0,0,0.0,0.0,0,0.957873248543,15.21666666,2014-04-02,1037,0.0,0.0,0.0
166,16.33333334,2,42,0,0,0,0.0,0.0,0,1.60332188845,16.41666666,2014-04-02,1038,0.0,0.0,0.0
167,16.31666666,2,42,0,0,0,0.0,0.0,0,0.755312239681,5.68333333,2014-04-02,1050,0.0,0.0,0.0
168,19.63333333,2,42,0,0,0,0.0,0.0,0,0.988772385593,16.33333334,2014-04-02,1054,0.0,0.0,0.0
169,15.38333334,2,42,0,0,0,0.0,0.0,0,1.01967152264,16.31666666,2014-04-02,1073,0.0,0.0,0.0
170,16.38333333,2,42,0,0,0,0.0,0.0,0,1.28059756953,19.63333333,2014-04-02,1074,0.0,0.0,0.0
171,14.73333333,2,42,0,0,0,0.0,0.0,0,0.992205621669,15.38333334,2014-04-02,1082,0.0,0.0,0.0
172,17.68333333,2,42,0,0,0,0.0,0.0,0,1.06430361018,16.38333333,2014-04-02,1097,0.0,0.0,0.0
173,14.88333333,2,42,0,0,0,0.0,0.0,0,1.41106059194,14.73333333,2014-04-02,1098,0.0,0.0,0.0
174,13.1,2,42,0,0,0,0.0,0.0,0,0.992205621669,17.68333333,2014-04-02,1109,0.0,0.0,0.0
175,15.61666667,2,42,0,0,0,0.0,0.0,0,0.690080727445,14.88333333,2014-04-02,1111,0.0,0.0,0.0
176,18.65,2,42,0,0,0,0.0,0.0,0,1.08146979674,13.1,2014-04-02,1142,0.0,0.0,0.0
177,18.81666667,2,42,0,0,0,0.0,0.0,0,1.34239584363,15.61666667,2014-04-02,1142,0.0,0.0,0.0
178,14.88333334,2,42,0,0,0,0.0,0.0,0,1.18446692024,18.65,2014-04-02,1145,0.0,0.0,0.0
179,14.78333333,2,42,0,0,0,0.0,0.0,0,1.11580217193,18.81666667,2014-04-02,1154,0.0,0.0,0.0
180,15.08333333,2,42,0,0,0,0.0,0.0,0,0.85830936318,14.88333334,2014-04-02,1157,0.0,0.0,0.0
181,19.93333334,2,42,0,0,0,0.0,0.0,0,0.82741022407,14.78333333,2014-04-02,1165,0.0,0.0,0.0
182,17.51666667,2,42,0,0,0,0.0,0.0,0,1.12266864614,15.08333333,2014-04-02,1177,0.0,0.0,0.0
183,13.68333333,2,42,0,0,0,0.0,0.0,0,1.1604342574,19.93333334,2014-04-02,1185,0.0,0.0,0.0
184,15.85,2,42,0,0,0,0.0,0.0,0,0.830843462207,17.51666667,2014-04-02,1198,0.0,0.0,0.0
185,16.36666667,2,42,0,0,0,0.0,0.0,0,1.03340447313,13.68333333,2014-04-02,1200,0.0,0.0,0.0
186,13.46666667,2,42,0,0,0,0.0,0.0,0,0.951006774329,15.85,2014-04-02,1221,0.0,0.0,0.0
187,13.88333333,2,42,0,0,0,0.0,0.0,0,0.817110513781,16.36666667,2014-04-02,1230,0.0,0.0,0.0
188,13.8,2,42,0,0,0,0.0,0.0,0,0.86860907553,13.46666667,2014-04-02,1238,0.0,0.0,0.0
189,16.26666667,2,42,0,0,0,0.0,0.0,0,0.861742601317,13.88333333,2014-04-02,1258,0.0,0.0,0.0
190,17.2,2,42,0,0,0,0.0,0.0,0,1.15700102133,13.8,2014-04-02,1261,0.0,0.0,0.0
191,14.71666666,2,42,0,0,0,0.0,0.0,0,1.46255915369,16.26666667,2014-04-02,1283,0.0,0.0,0.0
192,12.16666666,2,42,0,0,0,0.0,0.0,0,1.02310475872,17.2,2014-04-02,1288,0.0,0.0,0.0
193,15.15,2,42,0,0,0,0.0,0.0,0,0.758745475758,14.71666666,2014-04-02,1299,0.0,0.0,0.0
194,13.76666667,2,42,0,0,0,0.0,0.0,0,0.89950821258,12.16666666,2014-04-02,1335,0.0,0.0,0.0
195,12.7,2,42,0,0,0,0.0,0.0,0,0.844576412694,15.15,2014-04-02,1350,0.0,0.0,0.0
196,12.28333333,2,42,0,0,0,0.0,0.0,0,0.84800964877,13.76666667,2014-04-02,1362,0.0,0.0,0.0
197,15.35,2,42,0,0,0,0.0,0.0,0,0.923540873356,12.7,2014-04-02,1382,0.0,0.0,0.0
198,10.61666667,2,42,0,0,0,0.0,0.0,0,1.30806346844,12.28333333,2014-04-02,1382,0.0,0.0,0.0
199,13.68333333,2,42,0,0,0,0.0,0.0,0,0.607683028645,15.35,2014-04-02,1399,0.0,0.0,0.0
200,17.56666666,2,42,0,0,0,0.0,0.0,0,0.975039435106,10.61666667,2014-04-02,1424,0.0,0.0,0.0
201,17.58333334,2,42,0,0,0,0.0,0.0,0,0.769045188108,13.68333333,2014-04-02,1438,0.0,0.0,0.0
202,8.65,3,44,0,0,0,0.0,0.0,0,1.43852649291,17.56666666,2014-04-03,10,0.0,0.0,0.0
203,12.48333333,3,44,0,0,0,0.0,0.0,0,0.544451904511,17.58333334,2014-04-03,22,0.0,0.0,0.0
204,10.21666667,3,44,0,0,0,0.0,0.0,0,0.940416925974,8.65,2014-04-03,47,0.0,0.0,0.0
205,8.0,3,44,0,0,0,0.0,0.0,0,0.729235582514,12.48333333,2014-04-03,64,0.0,0.0,0.0
206,9.25,3,44,0,0,0,0.0,0.0,0,0.544451904511,10.21666667,2014-04-03,300,0.0,0.0,0.0
207,10.366666666,3,44,0,0,0,0.0,0.0,0,0.541152195933,8.0,2014-04-03,320,0.0,0.0,0.0
208,11.666666666,3,44,0,0,0,0.0,0.0,0,0.656641993794,9.25,2014-04-03,342,0.0,0.0,0.0
209,24.166666666,3,44,0,0,0,0.0,0.0,0,0.828226836494,10.366666666,2014-04-03,363,0.0,0.0,0.0
210,13.216666667,3,44,0,0,0,0.0,0.0,0,0.66324141095,11.666666666,2014-04-03,388,0.0,0.0,0.0
211,11.583333333,3,44,0,0,0,0.0,0.0,0,1.02620934723,24.166666666,2014-04-03,404,0.0,0.0,0.0
212,12.083333334,3,44,0,0,0,0.0,0.0,0,0.679739953445,13.216666667,2014-04-03,416,0.0,0.0,0.0
213,11.933333334,3,44,0,0,0,0.0,0.0,0,0.762232666316,11.583333333,2014-04-03,420,0.0,0.0,0.0
214,12.566666667,3,44,0,0,0,0.0,0.0,0,0.683039662023,12.083333334,2014-04-03,425,0.0,0.0,0.0
215,13.733333333,3,44,0,0,0,0.0,0.0,0,0.659941702372,11.933333334,2014-04-03,435,0.0,0.0,0.0
216,13.4,3,44,0,0,0,0.0,0.0,0,0.712737038633,12.566666667,2014-04-03,441,0.0,0.0,0.0
217,17.083333333,3,44,0,0,0,0.0,0.0,0,0.881022172755,13.733333333,2014-04-03,455,0.0,0.0,0.0
218,17.516666666,3,44,0,0,0,0.0,0.0,0,1.13180001955,13.4,2014-04-03,459,0.0,0.0,0.0
219,16.05,3,44,0,0,0,0.0,0.0,0,1.26048865152,17.083333333,2014-04-03,473,0.0,0.0,0.0
220,21.9,3,44,0,0,0,0.0,0.0,0,1.22419185796,17.516666666,2014-04-03,505,0.0,0.0,0.0
221,17.5,3,44,0,0,0,0.0,0.0,0,1.32318311332,16.05,2014-04-03,507,0.0,0.0,0.0
222,17.383333333,3,44,0,0,0,0.0,0.0,0,0.782030917389,21.9,2014-04-03,521,0.0,0.0,0.0
